location_id,name,type,parent_id
K02000001,United Kingdom,UK,
N92000001,Northern Ireland,CTRY,K02000001
K03000001,Great Britain,GB,K02000001
S92000003,Scotland,CTRY,K03000001
K04000001,England and Wales,EW,K03000001
E92000001,England,CTRY,K04000001
W92000004,Wales,CTRY,K04000001
E12000001,North East,RGN,E92000001
E12000002,North West,RGN,E92000001
E12000003,Yorkshire and The Humber,RGN,E92000001
E12000004,East Midlands,RGN,E92000001
E12000005,West Midlands Region,RGN,E92000001
E12000006,East of England,RGN,E92000001
E12000007,London,RGN,E92000001
E12000008,South East,RGN,E92000001
E12000009,South West,RGN,E92000001
E10000002,Buckinghamshire,CTY,E12000008
E10000003,Cambridgeshire,CTY,E12000006
E10000006,Cumbria,CTY,E12000002
E10000007,Derbyshire,CTY,E12000004
E10000008,Devon,CTY,E12000009
E10000009,Dorset,CTY,E12000009
E10000011,East Sussex,CTY,E12000008
E10000012,Essex,CTY,E12000006
E10000013,Gloucestershire,CTY,E12000009
E10000014,Hampshire,CTY,E12000008
E10000015,Hertfordshire,CTY,E12000006
E10000016,Kent,CTY,E12000008
E10000017,Lancashire,CTY,E12000002
E10000018,Leicestershire,CTY,E12000004
E10000019,Lincolnshire,CTY,E12000004
E10000020,Norfolk,CTY,E12000006
E10000021,Northamptonshire,CTY,E12000004
E10000023,North Yorkshire,CTY,E12000003
E10000024,Nottinghamshire,CTY,E12000004
E10000025,Oxfordshire,CTY,E12000008
E10000027,Somerset,CTY,E12000009
E10000028,Staffordshire,CTY,E12000005
E10000029,Suffolk,CTY,E12000006
E10000030,Surrey,CTY,E12000008
E10000031,Warwickshire,CTY,E12000005
E10000032,West Sussex,CTY,E12000008
E10000034,Worcestershire,CTY,E12000005
E11000001,Greater Manchester,CTY,E12000002
E11000002,Merseyside,CTY,E12000002
E11000003,South Yorkshire,CTY,E12000003
E11000005,West Midlands,CTY,E12000005
E11000006,West Yorkshire,CTY,E12000003
E11000007,Tyne and Wear,CTY,E12000001
E13000001,Inner London,CTY,E12000007
E13000002,Outer London,CTY,E12000007
E06000001,Hartlepool,LAD,E12000091
E06000002,Middlesbrough,LAD,E12000091
E06000003,Redcar and Cleveland,LAD,E12000091
E06000004,Stockton-on-Tees,LAD,E12000091
E06000005,Darlington,LAD,E12000091
E06000006,Halton,LAD,E12000092
E06000007,Warrington,LAD,E12000092
E06000008,Blackburn with Darwen,LAD,E12000092
E06000009,Blackpool,LAD,E12000092
E06000010,Kingston upon Hull,LAD,E12000093
E06000011,East Riding of Yorkshire,LAD,E12000093
E06000012,North East Lincolnshire,LAD,E12000093
E06000013,North Lincolnshire,LAD,E12000093
E06000014,York,LAD,E12000093
E06000015,Derby,LAD,E12000094
E06000016,Leicester,LAD,E12000094
E06000017,Rutland,LAD,E12000094
E06000018,Nottingham,LAD,E12000094
E06000019,Herefordshire,LAD,E12000095
E06000020,Telford and Wrekin,LAD,E12000095
E06000021,Stoke-on-Trent,LAD,E12000095
E06000022,Bath and North East Somerset,LAD,E12000099
E06000023,Bristol,LAD,E12000099
E06000024,North Somerset,LAD,E12000099
E06000025,South Gloucestershire,LAD,E12000099
E06000026,Plymouth,LAD,E12000099
E06000027,Torbay,LAD,E12000099
E06000028,Bournemouth,LAD,E12000099
E06000029,Poole,LAD,E12000099
E06000030,Swindon,LAD,E12000099
E06000031,Peterborough,LAD,E12000096
E06000032,Luton,LAD,E12000096
E06000033,Southend-on-Sea,LAD,E12000096
E06000034,Thurrock,LAD,E12000096
E06000035,Medway,LAD,E12000098
E06000036,Bracknell Forest,LAD,E12000098
E06000037,West Berkshire,LAD,E12000098
E06000038,Reading,LAD,E12000098
E06000039,Slough,LAD,E12000098
E06000040,Windsor and Maidenhead,LAD,E12000098
E06000041,Wokingham,LAD,E12000098
E06000042,Milton Keynes,LAD,E12000098
E06000043,Brighton and Hove,LAD,E12000098
E06000044,Portsmouth,LAD,E12000098
E06000045,Southampton,LAD,E12000098
E06000046,Isle of Wight,LAD,E12000098
E06000047,County Durham,LAD,E12000091
E06000049,Cheshire East,LAD,E12000092
E06000050,Cheshire West and Chester,LAD,E12000092
E06000051,Shropshire,LAD,E12000095
E06000052,Cornwall,LAD,E12000099
E06000054,Wiltshire,LAD,E12000099
E06000055,Bedford,LAD,E12000096
E06000056,Central Bedfordshire,LAD,E12000096
E06000057,Northumberland,LAD,E12000091
E07000004,Aylesbury Vale,LAD,E10000002
E07000005,Chiltern,LAD,E10000002
E07000006,South Bucks,LAD,E10000002
E07000007,Wycombe,LAD,E10000002
E07000008,Cambridge,LAD,E10000003
E07000009,East Cambridgeshire,LAD,E10000003
E07000010,Fenland,LAD,E10000003
E07000011,Huntingdonshire,LAD,E10000003
E07000012,South Cambridgeshire,LAD,E10000003
E07000026,Allerdale,LAD,E10000006
E07000027,Barrow-in-Furness,LAD,E10000006
E07000028,Carlisle,LAD,E10000006
E07000029,Copeland,LAD,E10000006
E07000030,Eden,LAD,E10000006
E07000031,South Lakeland,LAD,E10000006
E07000032,Amber Valley,LAD,E10000007
E07000033,Bolsover,LAD,E10000007
E07000034,Chesterfield,LAD,E10000007
E07000035,Derbyshire Dales,LAD,E10000007
E07000036,Erewash,LAD,E10000007
E07000037,High Peak,LAD,E10000007
E07000038,North East Derbyshire,LAD,E10000007
E07000039,South Derbyshire,LAD,E10000007
E07000040,East Devon,LAD,E10000008
E07000041,Exeter,LAD,E10000008
E07000042,Mid Devon,LAD,E10000008
E07000043,North Devon,LAD,E10000008
E07000044,South Hams,LAD,E10000008
E07000045,Teignbridge,LAD,E10000008
E07000046,Torridge,LAD,E10000008
E07000047,West Devon,LAD,E10000008
E07000048,Christchurch,LAD,E10000009
E07000049,East Dorset,LAD,E10000009
E07000050,North Dorset,LAD,E10000009
E07000051,Purbeck,LAD,E10000009
E07000052,West Dorset,LAD,E10000009
E07000053,Weymouth and Portland,LAD,E10000009
E07000061,Eastbourne,LAD,E10000011
E07000062,Hastings,LAD,E10000011
E07000063,Lewes,LAD,E10000011
E07000064,Rother,LAD,E10000011
E07000065,Wealden,LAD,E10000011
E07000066,Basildon,LAD,E10000012
E07000067,Braintree,LAD,E10000012
E07000068,Brentwood,LAD,E10000012
E07000069,Castle Point,LAD,E10000012
E07000070,Chelmsford,LAD,E10000012
E07000071,Colchester,LAD,E10000012
E07000072,Epping Forest,LAD,E10000012
E07000073,Harlow,LAD,E10000012
E07000074,Maldon,LAD,E10000012
E07000075,Rochford,LAD,E10000012
E07000076,Tendring,LAD,E10000012
E07000077,Uttlesford,LAD,E10000012
E07000078,Cheltenham,LAD,E10000013
E07000079,Cotswold,LAD,E10000013
E07000080,Forest of Dean,LAD,E10000013
E07000081,Gloucester,LAD,E10000013
E07000082,Stroud,LAD,E10000013
E07000083,Tewkesbury,LAD,E10000013
E07000084,Basingstoke and Deane,LAD,E10000014
E07000085,East Hampshire,LAD,E10000014
E07000086,Eastleigh,LAD,E10000014
E07000087,Fareham,LAD,E10000014
E07000088,Gosport,LAD,E10000014
E07000089,Hart,LAD,E10000014
E07000090,Havant,LAD,E10000014
E07000091,New Forest,LAD,E10000014
E07000092,Rushmoor,LAD,E10000014
E07000093,Test Valley,LAD,E10000014
E07000094,Winchester,LAD,E10000014
E07000095,Broxbourne,LAD,E10000015
E07000096,Dacorum,LAD,E10000015
E07000098,Hertsmere,LAD,E10000015
E07000099,North Hertfordshire,LAD,E10000015
E07000102,Three Rivers,LAD,E10000015
E07000103,Watford,LAD,E10000015
E07000105,Ashford,LAD,E10000016
E07000106,Canterbury,LAD,E10000016
E07000107,Dartford,LAD,E10000016
E07000108,Dover,LAD,E10000016
E07000109,Gravesham,LAD,E10000016
E07000110,Maidstone,LAD,E10000016
E07000111,Sevenoaks,LAD,E10000016
E07000112,Shepway,LAD,E10000016
E07000113,Swale,LAD,E10000016
E07000114,Thanet,LAD,E10000016
E07000115,Tonbridge and Malling,LAD,E10000016
E07000116,Tunbridge Wells,LAD,E10000016
E07000117,Burnley,LAD,E10000017
E07000118,Chorley,LAD,E10000017
E07000119,Fylde,LAD,E10000017
E07000120,Hyndburn,LAD,E10000017
E07000121,Lancaster,LAD,E10000017
E07000122,Pendle,LAD,E10000017
E07000123,Preston,LAD,E10000017
E07000124,Ribble Valley,LAD,E10000017
E07000125,Rossendale,LAD,E10000017
E07000126,South Ribble,LAD,E10000017
E07000127,West Lancashire,LAD,E10000017
E07000128,Wyre,LAD,E10000017
E07000129,Blaby,LAD,E10000018
E07000130,Charnwood,LAD,E10000018
E07000131,Harborough,LAD,E10000018
E07000132,Hinckley and Bosworth,LAD,E10000018
E07000133,Melton,LAD,E10000018
E07000134,North West Leicestershire,LAD,E10000018
E07000135,Oadby and Wigston,LAD,E10000018
E07000136,Boston,LAD,E10000019
E07000137,East Lindsey,LAD,E10000019
E07000138,Lincoln,LAD,E10000019
E07000139,North Kesteven,LAD,E10000019
E07000140,South Holland,LAD,E10000019
E07000141,South Kesteven,LAD,E10000019
E07000142,West Lindsey,LAD,E10000019
E07000143,Breckland,LAD,E10000020
E07000144,Broadland,LAD,E10000020
E07000145,Great Yarmouth,LAD,E10000020
E07000146,King's Lynn and West Norfolk,LAD,E10000020
E07000147,North Norfolk,LAD,E10000020
E07000148,Norwich,LAD,E10000020
E07000149,South Norfolk,LAD,E10000020
E07000150,Corby,LAD,E10000021
E07000151,Daventry,LAD,E10000021
E07000152,East Northamptonshire,LAD,E10000021
E07000153,Kettering,LAD,E10000021
E07000154,Northampton,LAD,E10000021
E07000155,South Northamptonshire,LAD,E10000021
E07000156,Wellingborough,LAD,E10000021
E07000163,Craven,LAD,E10000023
E07000164,Hambleton,LAD,E10000023
E07000165,Harrogate,LAD,E10000023
E07000166,Richmondshire,LAD,E10000023
E07000167,Ryedale,LAD,E10000023
E07000168,Scarborough,LAD,E10000023
E07000169,Selby,LAD,E10000023
E07000170,Ashfield,LAD,E10000024
E07000171,Bassetlaw,LAD,E10000024
E07000172,Broxtowe,LAD,E10000024
E07000173,Gedling,LAD,E10000024
E07000174,Mansfield,LAD,E10000024
E07000175,Newark and Sherwood,LAD,E10000024
E07000176,Rushcliffe,LAD,E10000024
E07000177,Cherwell,LAD,E10000025
E07000178,Oxford,LAD,E10000025
E07000179,South Oxfordshire,LAD,E10000025
E07000180,Vale of White Horse,LAD,E10000025
E07000181,West Oxfordshire,LAD,E10000025
E07000187,Mendip,LAD,E10000027
E07000188,Sedgemoor,LAD,E10000027
E07000189,South Somerset,LAD,E10000027
E07000190,Taunton Deane,LAD,E10000027
E07000191,West Somerset,LAD,E10000027
E07000192,Cannock Chase,LAD,E10000028
E07000193,East Staffordshire,LAD,E10000028
E07000194,Lichfield,LAD,E10000028
E07000195,Newcastle-under-Lyme,LAD,E10000028
E07000196,South Staffordshire,LAD,E10000028
E07000197,Stafford,LAD,E10000028
E07000198,Staffordshire Moorlands,LAD,E10000028
E07000199,Tamworth,LAD,E10000028
E07000200,Babergh,LAD,E10000029
E07000201,Forest Heath,LAD,E10000029
